ell_values,kappa_values
10.0,3.8387016269421565e-9
13.21620729433604,4.356737432595523e-9
17.466813524686128,4.7510996545979514e-9
23.084502831376422,4.94065384988599e-9
30.508957470615808,4.8625860289522154e-9
40.32127062657409,4.495196327587016e-9
53.2894270971826,3.887676465768482e-9
70.42841151127737,3.1665272880745977e-9
93.07964859438445,2.4700584264302027e-9
123.01599307073393,1.87025612665783e-9
162.58048649414266,1.3561846802002386e-9
214.86974115205913,9.215643436495527e-10
283.97630403459397,5.99133041395684e-10
375.3089700800592,3.785291897037439e-10
496.01611480018283,2.2913715157590743e-10
655.5451794530396,1.3474972292048372e-10
866.3820982454096,7.694113725015255e-11
1145.0285406513153,4.283907568988517e-11
1513.2934551178857,2.3327894828439243e-11
2000.0000000000002,1.2456606840015159e-11
